feature,importance,percentage,cumulative_percentage
Total_Kill_Difference,0.6570802142831651,65.70802142831653,65.70802142831653
Buildings_Taken_Difference,0.17042116659893508,17.042116659893512,82.75013808821004
Total_Damage_Done_Diff,0.0807523557524846,8.075235575248461,90.82537366345849
Total_Minions_Killed_Difference,0.022170772409301924,2.217077240930193,93.04245090438869
Total_Assist_Difference,0.020696120119794763,2.0696120119794768,95.11206291636816
Attack_Damage,0.009422774597057532,0.9422774597057534,96.05434037607391
Ability_Power,0.007389874731478818,0.7389874731478818,96.7933278492218
Health_Percentage,0.0040978452042830715,0.40978452042830726,97.2031123696501
Armor,0.0029709421474286256,0.29709421474286263,97.50020658439296
Power_Regen,0.0025456485111780528,0.2545648511178053,97.75477143551076
Attack_Speed,0.0025342453508236515,0.2534245350823652,98.00819597059312
Y_Position,0.002397852008332549,0.23978520083325494,98.24798117142637
X_Position,0.002391801822213817,0.23918018222138174,98.48716135364775
Magic_Resist,0.0021906693726817875,0.2190669372681788,98.70622829091593
Total_Jungle_Minions_Killed_Difference,0.001386341685878982,0.13863416858789823,98.84486245950383
Health_Regen,0.0012279982113189913,0.12279982113189915,98.96766228063574
Magic_Pen,0.0011004562912816688,0.1100456291281669,99.0777079097639
Armor_Pen_Percent,0.0010958757599540956,0.10958757599540958,99.18729548575931
Magic_Pen_Percent,0.000932878569313077,0.09328785693130771,99.28058334269062
Total_Ward_Killed_Difference,0.0008398998100667478,0.08398998100667479,99.3645733236973
True_Damage_Done_Diff,0.0005727255270152152,0.057272552701521526,99.42184587639882
True_Damage_Done_To_Champions_Diff,0.0005343463589549674,0.053434635895496754,99.47528051229432
Magic_Damage_Taken_Diff,0.0004959083589579114,0.049590835895791156,99.5248713481901
Total_Ward_Placed_Difference,0.00047316240002125945,0.04731624000212595,99.57218758819224
Physical_Damage_Done_To_Champions_Diff,0.00046308273574092193,0.0463082735740922,99.61849586176633
Time_Enemy_Spent_Controlled_Difference,0.0004605040787308138,0.046050407873081387,99.66454626963942
Life_Steal,0.0004345173233013095,0.04345173233013096,99.70799800196954
True_Damage_Taken_Diff,0.00039717857366409305,0.03971785736640931,99.74771585933595
Movement_Speed,0.0003827943515718077,0.038279435157180776,99.78599529449313
Physical_Damage_Done_Diff,0.000343235853527582,0.03432358535275821,99.82031887984589
Total_Damage_Done_To_Champions_Diff,0.00030175932611808086,0.030175932611808093,99.8504948124577
Total_Damage_Taken_Diff,0.0002678684729483789,0.026786847294837896,99.87728165975254
Power_Percent,0.0002589220760412541,0.025892207604125417,99.90317386735667
Magic_Damage_Done_Diff,0.00024810002545423997,0.024810002545424002,99.92798386990209
Elite_Monster_Killed_Difference,0.0002309355356995641,0.02309355356995641,99.95107742347204
Physical_Damage_Taken_Diff,0.00022265197327211257,0.02226519732721126,99.97334262079926
Magic_Damage_Done_To_Champions_Diff,0.00018580646992470893,0.018580646992470896,99.99192326779173
MinInterTeamDist,3.397156946977365e-05,0.0033971569469773656,99.99532042473871
FrontlineOverlap,2.4970987556279526e-05,0.002497098755627953,99.99781752349433
CentroidDist,1.0955995372063159e-05,0.001095599537206316,99.99891312303154
RadialVelocityDiff,1.0868769684630575e-05,0.0010868769684630577,100.0
